mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,mean_X_conc,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.3354092173010909,10.202644442041377,4.25031225713051e-5,1.0,0.09654269207943142,2,0.006632411125841893,1923.5863666459309,0.029708660124967298,786.3838000001891,0.0001,1000.0
1.0,0.3789715171635667,18.173070421306853,0.016102262942585842,0.97,2.8267014001258715e-5,4,0.00432777995572186,2001.8413693958382,0.001467290661922617,4289.000673180801,0.0001,1000.0
1.0,0.38825616261887497,18.3851512911597,0.015487073756511528,1.0,6.748575886993424e-5,1,0.0011337708022258481,161.20590290872101,0.006840000801417352,4098.349887544273,0.0001,1000.0
1.0,0.31918993836128334,15.976776536966,0.016457292170545538,1.0,0.000174623160275406,4,0.0011143200398210328,31.107396710804476,0.018235863796158873,260.5854611195182,0.0001,1000.0
1.0,0.8332766316599831,16.198742640961598,0.010652761184493969,1.0,0.0001714054273826964,3,0.0010282363294598553,4061.23745913999,0.004938939756045379,5970.304247576685,0.0001,1000.0
1.0,0.4241187363110799,12.898938067619472,0.009877499738891628,1.0,0.01706671224127007,1,0.008304875904891738,2595.870714611839,0.08125551015497051,62.49428080485301,0.0001,1000.0
1.0,0.1694317125142867,13.98934101850503,0.017336815259924507,0.99,0.010947138431976176,1,0.0024932866977647322,182.14613394895017,0.0015530169575047523,15.309176720265603,0.0001,1000.0
1.0,0.014799721747976894,18.178748329220998,0.019751677205525033,0.97,9.961933354581503e-5,2,0.058066851487268485,2046.2336464619978,0.007895441087439961,83.1193069043607,0.0001,1000.0
1.0,0.4483953970710635,13.278576349699662,0.010450655505621518,1.0,0.010779965896483713,1,0.0016390973968839816,11.151860941104006,0.08923145187683793,85.2549187795058,0.0001,1000.0
1.0,0.6123315919741343,14.750518196291603,0.013116961681372616,0.94,0.0008211756140954101,4,0.004079246440292002,882.5791055474496,0.001961534017513443,411.7613143939766,0.0001,1000.0
1.0,0.7650400422573448,14.320970189248449,0.006635586589706357,1.0,0.004086858183154539,1,0.005448791391086329,217.87232521397317,0.034761142885491605,2568.0798757504417,0.0001,1000.0
1.0,0.019464261458661317,18.23704228097342,0.019704444543764778,1.0,0.0004532844457064902,1,0.013371422538684228,2375.1954636522105,0.0030683550702049313,84.56815296901169,0.0001,1000.0
1.0,0.07795367447619976,18.114173052014202,0.01903454266182096,1.0,1.4792737674045964e-5,4,0.06595554735616968,12.575462802858882,0.03460954713234915,493.6330903150392,0.0001,1000.0
1.0,0.010476080957183376,17.45113048569026,0.019614933289588788,1.0,5.193370108272932e-5,2,0.0019164898370147845,494.5379539762592,0.008092010260617536,14.323099753470695,0.0001,1000.0
1.0,0.007004871567087998,18.264424631328605,0.019829868057243925,0.13,5.0190482513459966e-5,2,0.029329906717474864,9701.728226632309,0.0011328110567408961,141.67995578204602,0.0001,1000.0
1.0,0.7086799061985423,14.265858107842734,0.011170609507996858,0.9,0.0016065919933279582,4,0.015431075828582724,212.93190160320188,0.004029357944047978,448.0181133296373,0.0001,1000.0
1.0,0.5378807952814776,11.354703142185558,0.0009087456014251476,1.0,0.030386081427628428,2,0.014578596071788519,6358.678246390237,0.04771020482821773,274.2701627410878,0.0001,1000.0
1.0,0.4354296513456508,16.849535745095494,0.015429998526893862,1.0,7.75132719152933e-5,4,0.005254538491106938,27.147460616663185,0.004404837710058224,1565.2571758039194,0.0001,1000.0
1.0,0.5944748441502451,16.949820009060744,0.013542727279101122,1.0,0.00011076303014990106,2,0.0010865556086426056,757.1663937673835,0.06698427738073992,2843.6609883668025,0.0001,1000.0
1.0,0.7684904640817736,13.378923129697903,0.006224062691870564,1.0,0.0028957234149896115,3,0.00184249058696462,6950.365616599529,0.007019326916294953,450.8913949180405,0.0001,1000.0
1.0,0.012361585297785188,17.13704931828473,0.01959466604589287,1.0,8.549362269687104e-5,2,0.0060056570077334495,1257.3900450149424,0.0066893148758862256,19.61533362242168,0.0001,1000.0
1.0,0.294883623889059,10.07187631131534,2.2496541759623626e-6,1.0,0.06792014043745682,4,0.0023986594735303595,16.00765228487142,0.002644914917184695,6565.57607085983,0.0001,1000.0
1.0,0.4413822518573333,11.830288913114204,0.007992824055619456,1.0,0.01884144321026335,2,0.0020888965285884085,330.53221862551203,0.03684209077112252,19.96559506403899,0.0001,1000.0
1.0,0.04280918013665401,16.54170739511173,0.01932354556361177,1.0,0.00010152764172189171,4,0.002189260226090046,3347.96688418539,0.04618430092443341,31.228225888244104,0.0001,1000.0
1.0,0.7543198893127173,16.308578942840754,0.011850275201305913,1.0,0.00012793862317627872,4,0.005781783203300059,16.888600680978563,0.03995634312962546,3577.829350078154,0.0001,1000.0
1.0,0.6062768584057004,11.696207609029976,0.0008631645210148111,0.96,0.01506387275615246,4,0.016020704404568983,1902.6884863873086,0.013408516424001994,306.0842089620057,0.0001,1000.0
1.0,0.40722642751434124,10.69526865705931,0.0007084563902397361,0.98,0.0883216713415526,2,0.003734951742599539,61.61956822273767,0.0022275245707414596,90.64424815726788,0.0001,1000.0
1.0,0.1340807269426226,16.171560302887098,0.01854427441477308,0.99,0.0003015865942650333,4,0.03301217401566539,919.9729928132613,0.002655890078153036,124.110600688259,0.0001,1000.0
1.0,0.0616362561847234,17.330468771956195,0.01914395963051824,1.0,4.6008325164594236e-5,4,0.004054524294593737,2657.7146000788953,0.05918155961613661,104.78471606066813,0.0001,1000.0
1.0,0.47573785649380135,12.330187622619176,0.009267941883387015,1.0,0.011416051178498907,2,0.0015880001874020646,1405.4985676213917,0.00812036696855871,30.719964800311836,0.0001,1000.0
1.0,0.2481012348613644,16.408412004938768,0.017243135768905578,1.0,0.0001385325940089916,3,0.0025533564739749523,3160.4010191383486,0.09871722332233257,246.3545384786015,0.0001,1000.0
1.0,0.5292321666372752,11.258206443536448,0.00016509361387284763,1.0,0.024271289430544025,3,0.022083899839967846,5402.002335605967,0.03655902239248282,916.1140071220043,0.0001,1000.0
1.0,0.7081508877778813,15.264683615815434,0.012165144497274183,0.93,0.0016431348317364873,3,0.03383076436064012,213.95114629589835,0.001036672147254744,1152.1301420905863,0.0001,1000.0
1.0,0.40766466706673543,16.984894750423585,0.01569534009322724,0.99,0.0031228076193423404,1,0.04198519460425097,3400.7159549160224,0.0055050976870125385,1388.7924699852063,0.0001,1000.0
1.0,0.7225499158445108,17.428730866832588,0.012483153517801542,1.0,4.245737421717015e-5,4,0.0010071851017223461,2564.8936015691775,0.0014896738611252763,9614.44165354725,0.0001,1000.0
1.0,0.7233065096279345,12.64051655899357,0.004070089505824378,0.91,0.006925398420001708,4,0.024002068579249577,39.1392482068514,0.011552380089996867,280.1919113867254,0.0001,1000.0
1.0,0.3242001181965465,13.096904754852927,0.015217995839748612,0.95,0.012492712554520256,2,0.07649900228801229,15.22815161847497,0.018345707812743535,20.433388250202285,0.0001,1000.0
1.0,0.046385772061582495,16.098836417554608,0.01922100047558185,1.0,1.7058113463207988e-5,1,0.0014161557561260527,28.392063212262734,0.007637998322404249,22.828851875378483,0.0001,1000.0
1.0,0.78167723340511,13.094348137089804,0.0016564710881287678,0.99,0.08186228413651452,1,0.009996201735554615,9922.663133729395,0.0024341332869771467,8415.716614836909,0.0001,1000.0
1.0,0.04137499512789609,16.50245993336383,0.019279267607581762,1.0,1.463336947351413e-5,1,0.002197483126500239,33.108466598492896,0.007495653276401437,30.5324915560513,0.0001,1000.0
1.0,0.4136696609639834,18.383448909540974,0.015753807922183,1.0,3.064145103129155e-5,3,0.01465602319237102,79.38727486087791,0.004358340446438816,6491.15028954936,0.0001,1000.0
1.0,0.0021282619642371066,18.863641027128757,0.01987662404385188,1.0,2.042149163801925e-5,1,0.03840384576468712,670.420173500915,0.02173053085867535,23.591597904967834,0.0001,1000.0
1.0,0.02885958265334592,17.916346702403313,0.019418286300429397,1.0,1.532196957760793e-5,1,0.0025051955556783696,71.3839063172668,0.0071773944282922065,73.17542313431994,0.0001,1000.0
1.0,0.15307904979068368,17.318679421071533,0.018346091561774906,1.0,0.002605320104715009,1,0.012072755700313206,62.300682791692566,0.001132635012569461,393.61920319129143,0.0001,1000.0
1.0,0.43658576898485685,15.894954122405357,0.015426334561913219,0.99,0.0003530716600065628,4,0.027409867058294502,41.05922291750167,0.0033891200201840756,584.9261748631492,0.0001,1000.0
1.0,0.049756886653651924,15.499971667074908,0.019385819086267086,1.0,0.00040750349129622465,4,0.026529007491684495,182.7688105362717,0.007532732552814485,21.01193730033787,0.0001,1000.0
