ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.002936650226011318,17.81513603724977,1.0,0.0,1,0.06505391458673569,258.6730146646326,0.0012384891787714726,12.87345157033628,0.0001,1000.0
1.0,0.033813459850354784,18.89510811366145,1.0,0.0,1,0.003098508781986398,37.72224790692801,0.04564892442310219,264.1636712435835,0.0001,1000.0
1.0,0.00028532179431069914,21.7058412109567,0.29,0.0,1,0.0648650412359686,2704.9850330416975,0.0018098405746397681,150.19278932404168,0.0001,1000.0
1.0,0.00820522068869309,24.595899125717466,1.0,0.0,1,0.0032653330990748794,1800.9342139797827,0.0401801203871134,1708.165665734486,0.0001,1000.0
1.0,0.0030074418248183395,23.924862477655033,1.0,0.0,1,0.017877734168282703,269.03816136978617,0.004863969117025145,6093.679495750731,0.0001,1000.0
1.0,0.07113936936807186,19.24093391488755,1.0,0.0,1,0.008998134769072384,15.392288725066381,0.011116044045175742,1142.0219359180307,0.0001,1000.0
1.0,0.0004583134580270765,25.08505101814697,1.0,0.0,1,0.0023368455304999453,2315.3337453862487,0.0019278895059554927,2717.7540229444494,0.0001,1000.0
1.0,0.010396346343625408,21.049779834506236,1.0,0.0,1,0.0256338929215752,99.06057149663596,0.02096118736624559,1096.9576380758624,0.0001,1000.0
1.0,0.013966691053231313,19.942573183979693,1.0,0.0,1,0.001421533203015128,114.0224901211472,0.004269996586457541,266.8531475205716,0.0001,1000.0
1.0,0.03225564655876774,18.569503715051034,1.0,0.0,1,0.02200030998048931,39.13561556453737,0.04939907346258367,201.676136980422,0.0001,1000.0
1.0,0.0002678184659166561,26.355318061710477,0.48,0.0,1,0.0248645544823801,2910.8369362824214,0.007222466969490043,5704.910035313455,0.0001,1000.0
1.0,0.0029490844698626074,22.43601584736455,1.0,0.0,1,0.055820189492934144,264.57010437412384,0.007451185794305795,1342.4093030474676,0.0001,1000.0
1.0,0.005787104219884553,21.691317997077768,1.0,0.0,1,0.08477733449722985,258.9448481550277,0.08404604660876014,890.2752786943028,0.0001,1000.0
1.0,0.0044785375842799026,18.7348633120391,1.0,0.0,1,0.02677589412801901,381.02964272485474,0.031190172226274366,28.381100547963342,0.0001,1000.0
1.0,0.00934095867764484,25.85237189972272,1.0,0.0,1,0.0011846360679821314,1340.79904933455,0.008533979828094078,8217.791443524722,0.0001,1000.0
1.0,0.057285395784526544,15.616414658190868,1.0,0.0,1,0.017958948846809458,12.955078729757242,0.0054275964181898124,30.138109783983374,0.0001,1000.0
1.0,0.03933901746735885,21.23785335906952,1.0,0.0,1,0.007783452595876444,33.407349714633696,0.02072506364298893,3385.9756723341657,0.0001,1000.0
1.0,0.009012757168057167,25.705707874881128,1.0,0.0,1,0.0074894941643052736,1352.289415215286,0.017344354853988487,7573.275799982245,0.0001,1000.0
1.0,0.006394923670231428,22.869648339864394,1.0,0.0,1,0.00475875953424979,2239.498076277408,0.042772581345611696,243.97236438281504,0.0001,1000.0
1.0,0.04893445812473631,20.98244707763175,1.0,0.0,1,0.05770342053426457,14.455506417960263,0.0013433525028910137,5562.491842422108,0.0001,1000.0
1.0,0.00963369787250903,22.362707215262144,1.0,0.0,1,0.024665373440619046,79.36852806823893,0.0022740305774341957,4118.183632571866,0.0001,1000.0
1.0,0.035401560164773,18.003183082983753,1.0,0.0,1,0.014127905727265147,20.657235913225353,0.0011485788210726278,197.41973373200753,0.0001,1000.0
1.0,0.0033699398446322575,21.533884500843104,1.0,0.0,1,0.015180863761702915,3377.143093861105,0.018634958469061522,52.26914695860908,0.0001,1000.0
1.0,0.0008752168261573059,23.679733124399977,1.0,0.0,1,0.004754089024367718,995.1086721536225,0.0023182706556370233,1365.0881458115678,0.0001,1000.0
1.0,0.0017500371700592445,22.91095964643312,1.0,0.0,1,0.02395624413379148,437.54010699144345,0.0010968475282239344,1282.8172393357772,0.0001,1000.0
1.0,0.00470698631748789,20.232027468006432,1.0,0.0,1,0.002459685254829635,859.0814291122197,0.028835070587107176,44.63300359163108,0.0001,1000.0
1.0,0.007970258325663004,25.448910289684083,1.0,0.0,1,0.0036594628630631956,5518.635380370515,0.009149707486997493,1421.014162807398,0.0001,1000.0
1.0,0.013356251550163178,20.728999478091882,1.0,0.0,1,0.007182069476357649,59.124017567807805,0.001746418940025192,1108.9158881451096,0.0001,1000.0
1.0,0.005173850875960737,20.760386959762027,1.0,0.0,1,0.006029240809086813,853.121029005964,0.038568187279374624,77.68493625379793,0.0001,1000.0
1.0,0.0012276936940489268,21.702429674944497,1.0,0.0,1,0.00671627766489483,681.3338850693365,0.0025082881557128523,264.66615905675843,0.0001,1000.0
1.0,0.029233088613550104,21.380552687440495,1.0,0.0,1,0.0016919433755629967,49.37100373941127,0.05734166839151458,2433.2183647164934,0.0001,1000.0
1.0,0.051469797447744756,16.82279170810455,1.0,0.0,1,0.024991028535184198,16.419362468485332,0.01610897687213309,88.39614825678102,0.0001,1000.0
1.0,0.00012638580059869836,20.693833786581834,0.08,0.0,1,0.030310038120240305,6488.356580857478,0.00260081916672215,156.99138108644956,0.0001,1000.0
