time,time_mean,trajectory_mean,Glucose_mean,G6P_mean,F6P_mean,F16BP_mean,GAP_mean,DHAP_mean,BPG_mean,ThreePG_mean,TwoPG_mean,PEP_mean,Pyruvate_mean,Lactate_mean,time_qlow,trajectory_qlow,Glucose_qlow,G6P_qlow,F6P_qlow,F16BP_qlow,GAP_qlow,DHAP_qlow,BPG_qlow,ThreePG_qlow,TwoPG_qlow,PEP_qlow,Pyruvate_qlow,Lactate_qlow,time_qhigh,trajectory_qhigh,Glucose_qhigh,G6P_qhigh,F6P_qhigh,F16BP_qhigh,GAP_qhigh,DHAP_qhigh,BPG_qhigh,ThreePG_qhigh,TwoPG_qhigh,PEP_qhigh,Pyruvate_qhigh,Lactate_qhigh
-1.0,-1.0,4999.032223983096,9.999989998304752e-7,9.999251653997096e-7,9.999239189536095e-7,6.71366787761248e-7,1.0000001469808075e-6,1.0000001469967766e-6,1.000000054960435e-6,1.0000000779621616e-6,1.0000000808528013e-6,1.0000001130527298e-6,1.00000014947665e-6,1.0000001853791168e-6,-1.0,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.401893825070881e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-1.0,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.99999000006451e-7,9.99999000006449e-7,9.999990000064488e-7,9.999990000067813e-7,9.999990000067235e-7,9.999990000041847e-7
-0.8999999999996362,-0.8999999999996362,4999.032223983096,9.999989998304741e-7,9.999251652348717e-7,9.999239187857538e-7,6.713667838667919e-7,1.000000159852556e-6,1.0000001598683265e-6,1.0000000659296418e-6,1.0000000888256058e-6,1.0000000916926273e-6,1.000000123385627e-6,1.0000001504165398e-6,1.0000001855033818e-6,-0.8999999999996362,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708813e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.8999999999996362,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.99999000006451e-7,9.99999000006449e-7,9.999990000064757e-7,9.999990000067813e-7,9.999990000067235e-7,9.999990000041847e-7
-0.8000000000001819,-0.8000000000001819,4999.032223983096,9.999989998304726e-7,9.99925165067959e-7,9.999239186157719e-7,6.713667803270018e-7,1.0000001730664576e-6,1.0000001730820333e-6,1.0000000772056172e-6,1.0000000999820167e-6,1.0000001028246447e-6,1.0000001339966108e-6,1.0000001513718142e-6,1.000000185618609e-6,-0.8000000000001819,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708818e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.8000000000001819,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065128e-7,9.999990000065128e-7,9.99999000006451e-7,9.999990000064492e-7,9.999990000064755e-7,9.999990000067813e-7,9.999990000067233e-7,9.999990000041847e-7
-0.6999999999998181,-0.6999999999998181,4999.032223983096,9.999989998304714e-7,9.999251648987072e-7,9.99923918443392e-7,6.713667772076524e-7,1.000000186687216e-6,1.0000001867025854e-6,1.0000000888462199e-6,1.0000001114885523e-6,1.0000001143058985e-6,1.0000001449405658e-6,1.0000001523477164e-6,1.0000001857258804e-6,-0.6999999999998181,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708823e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.6999999999998181,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.99998999748356e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.999990000064507e-7,9.999990000064492e-7,9.999990000064757e-7,9.999990000068022e-7,9.999990000067233e-7,9.999990000041847e-7
-0.6000000000003638,-0.6000000000003638,4999.032223983096,9.9999899983047e-7,9.99925164726956e-7,9.999239182684503e-7,6.713667745465412e-7,1.0000002007536158e-6,1.0000002007687676e-6,1.0000001008756261e-6,1.0000001233732047e-6,1.0000001261642736e-6,1.000000156243469e-6,1.0000001533475077e-6,1.0000001858261996e-6,-0.6000000000003638,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708829e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.6000000000003638,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.99998999748356e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.999990000064507e-7,9.999990000064492e-7,9.999990000064757e-7,9.999990000068022e-7,9.999990000067233e-7,9.999990000041847e-7
-0.5,-0.5,4999.032223983096,9.999989998304688e-7,9.99925164552545e-7,9.999239180907826e-7,6.713667723806098e-7,1.0000002153077504e-6,1.0000002153226675e-6,1.0000001133213955e-6,1.000000135666905e-6,1.0000001384305579e-6,1.0000001679340684e-6,1.0000001543747747e-6,1.0000001859205407e-6,-0.5,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708834e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.5,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.999990000064507e-7,9.99999000006449e-7,9.999990000064755e-7,9.999990000068022e-7,9.999990000067233e-7,9.999990000041847e-7
-0.3999999999996362,-0.3999999999996362,4999.032223983096,9.999989998304678e-7,9.99925164375314e-7,9.999239179102235e-7,6.713667707451706e-7,1.0000002304017932e-6,1.0000002304164583e-6,1.000000126219535e-6,1.0000001484084489e-6,1.000000151143297e-6,1.0000001800484422e-6,1.0000001554340053e-6,1.000000186009937e-6,-0.3999999999996362,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708837e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.3999999999996362,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065128e-7,9.999990000064507e-7,9.99999000006449e-7,9.999990000064755e-7,9.999990000068022e-7,9.99999000006723e-7,9.999990000041847e-7
-0.3000000000001819,-0.3000000000001819,4999.032223983096,9.999989998304663e-7,9.999251641951009e-7,9.99923917726605e-7,6.71366769671787e-7,1.0000002461259633e-6,1.000000246140358e-6,1.00000013963409e-6,1.0000001616641183e-6,1.0000001643681192e-6,1.0000001926480414e-6,1.0000001565325551e-6,1.0000001860956652e-6,-0.3000000000001819,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.401893825070884e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.3000000000001819,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065123e-7,9.999990000065126e-7,9.999990000064507e-7,9.99999000006449e-7,9.999990000064755e-7,9.999990000068022e-7,9.99999000006723e-7,9.999990000041847e-7
-0.1999999999998181,-0.1999999999998181,4999.032223983096,9.999989998304652e-7,9.999251640117352e-7,9.999239175397525e-7,6.713667691799548e-7,1.0000002627972067e-6,1.0000002628113248e-6,1.0000001537845274e-6,1.0000001756536524e-6,1.0000001783218022e-6,1.0000002059360158e-6,1.0000001576902463e-6,1.0000001861800013e-6,-0.1999999999998181,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708844e-7,9.99999000001e-7,9.99999000001e-7,9.999990000009998e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.1999999999998181,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065123e-7,9.999990000065128e-7,9.999990000064507e-7,9.99999000006449e-7,9.999990000064755e-7,9.999990000068022e-7,9.99999000006723e-7,9.999990000041845e-7
-0.1000000000003638,-0.1000000000003638,4999.032223983096,9.999989998304642e-7,9.999251638250313e-7,9.999239173494746e-7,6.713667692056024e-7,1.0000002834561097e-6,1.000000283469133e-6,1.000000170524822e-6,1.0000001922201288e-6,1.0000001948199207e-6,1.0000002216212432e-6,1.0000001590196596e-6,1.0000001862706094e-6,-0.1000000000003638,245.6,9.999990000004925e-7,9.999740624502962e-7,9.999733944531273e-7,1.4018938250708852e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,-0.1000000000003638,9754.4,9.999990000009998e-7,9.999989997517253e-7,9.999989997483558e-7,9.987326536683804e-7,9.999990000065126e-7,9.999990000065126e-7,9.999990000064507e-7,9.99999000006449e-7,9.999990000064755e-7,9.999990000068022e-7,9.999990000068132e-7,9.999990000041845e-7
