mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,mean_X_conc,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.9750333590753267,16.67664661410344,41.85471614767055,1.0,0.0,1,0.0031555380960258303,16.31641731075525,0.001613794526061154,73.58548600179704,0.0001,1000.0
1.0,0.984836944329966,17.5917182340367,528.3509474795857,1.0,0.0,1,0.007515865888552653,92.19755142234052,0.04040162394606749,29.964550151668433,0.0001,1000.0
1.0,0.9909543365497536,20.396850573829912,458887.12213173986,1.0,0.0,1,0.03276479570970444,5905.787355666672,0.07906904155612152,10.153564484903725,0.0001,1000.0
1.0,0.9915095372337028,20.77185794922236,13623.726800281664,1.0,0.0,1,0.0010229859804031804,120.1834420354823,0.010266595623178857,640.3573386611084,0.0001,1000.0
1.0,0.9928959756845676,21.78499060214705,76705.58497727982,1.0,0.0,1,0.02027463958769561,189.36847420148672,0.0012598700179145376,2562.1010686337695,0.0001,1000.0
1.0,0.9941950056537965,22.82669341958923,179587.88451980238,1.0,0.0,1,0.0058883250016907454,443.4258779835423,0.003727736659376305,7529.888525098203,0.0001,1000.0
1.0,0.9920894867611701,21.39793265691841,16524.06970916749,1.0,0.0,1,0.0015755098050975035,71.7487655600857,0.042476771426031366,1850.855426174576,0.0001,1000.0
1.0,0.930183126769269,15.39703518142958,13.74945381709306,1.0,0.0,1,0.024345022896488735,18.1641978879924,0.02260948611337037,21.604386637170315,0.0001,1000.0
1.0,0.9924763964885125,21.94115083024414,29316.888948258395,1.0,0.0,1,0.005586828028532083,66.02653653703182,0.03784996882082439,3317.855686945909,0.0001,1000.0
1.0,0.9933748411413632,23.08282892766395,671953.5126456624,1.0,0.0,1,0.03256930997089514,715.6840855905316,0.023815588562670305,2203.5193706299847,0.0001,1000.0
1.0,0.991431198928579,20.3155827058919,474055.732822188,1.0,0.0,1,0.07348345065121227,5576.647097345892,0.006078262623137432,1574.7794744121977,0.0001,1000.0
1.0,0.9933077498055968,22.15203551735522,342020.37852682604,1.0,0.0,1,0.009580972802244615,3257.285661626237,0.007094771639069362,1130.7793423448443,0.0001,1000.0
1.0,0.9931211618751071,21.23283580484568,81553.98729621625,1.0,0.0,1,0.002271856553966526,3425.9590889042206,0.0031360416467734343,389.82250563955694,0.0001,1000.0
1.0,0.9939419134844242,22.27651711371803,299572.45520314365,1.0,0.0,1,0.009331428063694532,2037.4735903445824,0.018362076589217135,700.1793537730277,0.0001,1000.0
1.0,0.9896510106636051,19.134577220322445,18209.399390339066,1.0,0.0,1,0.015956907142257337,600.717850979755,0.001091447923418699,21.479962134094556,0.0001,1000.0
1.0,0.9935135491783772,22.704937080580798,286287.4114639747,1.0,0.0,1,0.0074205448762955034,3667.0312097766623,0.00595008612703279,4491.024409870331,0.0001,1000.0
1.0,0.99187187607373,20.849138902894442,80234.2395908519,1.0,0.0,1,0.002925859110267963,1377.6474999248333,0.006433705232436412,142.4228864875596,0.0001,1000.0
1.0,0.9938047093401613,22.50887267109666,50516.38493814595,1.0,0.0,1,0.0021570659177093734,123.81492425264823,0.06789287205914853,5180.243524105166,0.0001,1000.0
1.0,0.9899422035536379,19.432048409083542,6577.384348253992,1.0,0.0,1,0.07162572983035637,161.2658104494746,0.017364772703650524,110.39608581825252,0.0001,1000.0
1.0,0.9908713122533137,20.76728279035535,9115.762245597194,1.0,0.0,1,0.0017966628746600886,61.711819226266215,0.0027898868472818537,1258.6823104161506,0.0001,1000.0
1.0,0.9898767692581251,19.295359290366342,922.2676573088273,1.0,0.0,1,0.0014469008562683228,29.500711259044888,0.02384579943602652,504.25101649033377,0.0001,1000.0
1.0,0.990764279415361,20.482520649268853,6814.054594563441,1.0,0.0,1,0.015549255799724796,61.49123651492275,0.0289423983631485,901.9733372483602,0.0001,1000.0
1.0,0.9871831815562443,18.257244936434105,165.0249684334591,1.0,0.0,1,0.0011339893718332512,14.063579806349301,0.0023085556299802116,415.52964190124493,0.0001,1000.0
1.0,0.9882321505664785,18.466698213921823,9476.444822448251,1.0,0.0,1,0.023148361931415465,612.2356757282334,0.00431508189800923,10.87317342355029,0.0001,1000.0
1.0,0.9914695433921251,20.40040156315337,78398.43923041319,1.0,0.0,1,0.008616454972771729,893.4409473611015,0.001137076265239278,284.16875778595477,0.0001,1000.0
1.0,0.995053887597973,21.93918944386579,196386.26611341923,1.0,0.0,1,0.0053945789035176545,4890.231467937658,0.03359790507653363,425.7527524845527,0.0001,1000.0
1.0,0.9932691792502979,21.012923782054326,196429.53962380416,1.0,0.0,1,0.005643285686522405,7794.111261022932,0.03065026380200857,67.55913047546714,0.0001,1000.0
