time,time_mean,trajectory_mean,Glucose_mean,G6P_mean,F6P_mean,F16BP_mean,GAP_mean,DHAP_mean,BPG_mean,ThreePG_mean,TwoPG_mean,PEP_mean,Pyruvate_mean,Lactate_mean,time_qlow,trajectory_qlow,Glucose_qlow,G6P_qlow,F6P_qlow,F16BP_qlow,GAP_qlow,DHAP_qlow,BPG_qlow,ThreePG_qlow,TwoPG_qlow,PEP_qlow,Pyruvate_qlow,Lactate_qlow,time_qhigh,trajectory_qhigh,Glucose_qhigh,G6P_qhigh,F6P_qhigh,F16BP_qhigh,GAP_qhigh,DHAP_qhigh,BPG_qhigh,ThreePG_qhigh,TwoPG_qhigh,PEP_qhigh,Pyruvate_qhigh,Lactate_qhigh
-1.0,-1.0,5003.704197271773,9.999989999684717e-7,9.99961928748412e-7,9.999614711095303e-7,6.641225289657216e-7,9.999992597609434e-7,9.999992597590113e-7,9.999993184039513e-7,9.999993643235138e-7,9.99999369787536e-7,9.999994465274782e-7,1.000000099304256e-6,1.0000002283270523e-6,-1.0,244.225,9.999990000005437e-7,9.999719920391062e-7,9.999715853477442e-7,1.3954261932946518e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-1.0,9754.775,9.99999000001e-7,9.999989997552745e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064522e-7,9.999990000064522e-7,9.999990000065536e-7,9.999990000065852e-7,9.999990000065854e-7,9.999990000067565e-7,9.99999000009159e-7,9.999990000178262e-7
-0.8999999999996362,-0.8999999999996362,5003.704197271773,9.99998999968472e-7,9.999619290955479e-7,9.999614714608036e-7,6.64122514790969e-7,9.999992601605178e-7,9.999992601585864e-7,9.999993187660458e-7,9.99999364687584e-7,9.99999370150444e-7,9.999994468914868e-7,1.0000000993291737e-6,1.0000002283063806e-6,-0.8999999999996362,244.225,9.999990000005437e-7,9.999719919580005e-7,9.999715853477442e-7,1.395426193294652e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.8999999999996362,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064522e-7,9.999990000064522e-7,9.999990000065538e-7,9.999990000065852e-7,9.999990000065854e-7,9.999990000067567e-7,9.99999000009159e-7,9.999990000178262e-7
-0.8000000000001819,-0.8000000000001819,5003.704197271773,9.999989999684725e-7,9.999619294421989e-7,9.999614718115798e-7,6.641225006244866e-7,9.999992605656992e-7,9.999992605637684e-7,9.99999319133832e-7,9.999993650570344e-7,9.99999370518719e-7,9.999994472607872e-7,1.0000000993546567e-6,1.0000002282857183e-6,-0.8000000000001819,244.225,9.999990000005437e-7,9.999719918768946e-7,9.999715853477442e-7,1.3954261932946518e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009994e-7,9.999990000004647e-7,-0.8000000000001819,9754.775,9.99999000001e-7,9.999989997552745e-7,9.999989997515762e-7,9.98665798072773e-7,9.99999000006452e-7,9.999990000064518e-7,9.999990000065538e-7,9.999990000065854e-7,9.999990000065854e-7,9.999990000067565e-7,9.99999000009159e-7,9.999990000178262e-7
-0.6999999999998181,-0.6999999999998181,5003.704197271773,9.999989999684731e-7,9.999619297883562e-7,9.99961472161853e-7,6.641224864663812e-7,9.999992609767158e-7,9.999992609747884e-7,9.999993195077022e-7,9.999993654321936e-7,9.999993708926878e-7,9.999994476357136e-7,1.000000099380749e-6,1.0000002282650632e-6,-0.6999999999998181,244.225,9.999990000005437e-7,9.999719917957886e-7,9.999715853477442e-7,1.3954261932946518e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.6999999999998181,9754.775,9.99999000001e-7,9.999989997552745e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064518e-7,9.999990000064516e-7,9.999990000065538e-7,9.999990000065854e-7,9.999990000065854e-7,9.999990000067565e-7,9.99999000009159e-7,9.999990000178262e-7
-0.6000000000003638,-0.6000000000003638,5003.704197271773,9.999989999684736e-7,9.999619301340086e-7,9.999614725116119e-7,6.641224723167694e-7,9.99999261393679e-7,9.999992613917522e-7,9.999993198877925e-7,9.9999936581322e-7,9.999993712725103e-7,9.999994480164247e-7,1.0000000994074815e-6,1.0000002282444166e-6,-0.6000000000003638,244.225,9.999990000005437e-7,9.999719917146825e-7,9.999715853477442e-7,1.395426193294652e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.6000000000003638,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064514e-7,9.999990000064516e-7,9.999990000065538e-7,9.999990000065852e-7,9.999990000065854e-7,9.999990000067565e-7,9.99999000009159e-7,9.999990000178262e-7
-0.5,-0.5,5003.704197271773,9.99998999968474e-7,9.99961930479147e-7,9.999614728608448e-7,6.64122458175781e-7,9.999992618165806e-7,9.999992618146572e-7,9.999993202739887e-7,9.999993662000935e-7,9.999993716581655e-7,9.999994484029002e-7,1.0000000994348828e-6,1.0000002282237778e-6,-0.5,244.225,9.999990000005437e-7,9.999719916335759e-7,9.999715853477442e-7,1.395426193294652e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.5,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064511e-7,9.999990000064511e-7,9.99999000006554e-7,9.999990000065852e-7,9.999990000065856e-7,9.999990000067565e-7,9.999990000091591e-7,9.999990000178262e-7
-0.3999999999996362,-0.3999999999996362,5003.704197271773,9.999989999684744e-7,9.999619308237617e-7,9.999614732095418e-7,6.641224440435551e-7,9.999992622453006e-7,9.999992622433803e-7,9.999993206659255e-7,9.99999366592621e-7,9.999993720494604e-7,9.99999448794946e-7,1.0000000994629734e-6,1.000000228203148e-6,-0.3999999999996362,244.225,9.999990000005437e-7,9.999719915524695e-7,9.999715853477442e-7,1.3954261932946523e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.3999999999996362,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.99999000006451e-7,9.999990000064507e-7,9.999990000065538e-7,9.999990000065852e-7,9.999990000065854e-7,9.999990000067565e-7,9.999990000091591e-7,9.999990000178262e-7
-0.3000000000001819,-0.3000000000001819,5003.704197271773,9.999989999684748e-7,9.9996193116784e-7,9.999614735576938e-7,6.641224299202428e-7,9.999992626795993e-7,9.999992626776842e-7,9.999993210629834e-7,9.999993669904307e-7,9.999993724460255e-7,9.99999449192192e-7,1.0000000994917714e-6,1.0000002281825273e-6,-0.3000000000001819,244.225,9.999990000005437e-7,9.999719914713627e-7,9.999715853477442e-7,1.395426193294652e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.3000000000001819,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064507e-7,9.999990000064505e-7,9.999990000065538e-7,9.999990000065852e-7,9.999990000065856e-7,9.999990000067565e-7,9.999990000091591e-7,9.999990000178264e-7
-0.1999999999998181,-0.1999999999998181,5003.704197271773,9.999989999684753e-7,9.99961931511372e-7,9.999614739052885e-7,6.641224158060075e-7,9.999992631191211e-7,9.999992631172104e-7,9.999993214642896e-7,9.999993673929776e-7,9.999993728473144e-7,9.999994495940862e-7,1.0000000995212825e-6,1.0000002281619137e-6,-0.1999999999998181,244.225,9.999990000005437e-7,9.99971991390256e-7,9.999715853477442e-7,1.395426193294652e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.1999999999998181,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064505e-7,9.999990000064507e-7,9.99999000006554e-7,9.99999000006585e-7,9.999990000065856e-7,9.999990000067565e-7,9.999990000091591e-7,9.999990000178264e-7
-0.1000000000003638,-0.1000000000003638,5003.704197271773,9.999989999684757e-7,9.999619318543463e-7,9.999614742523135e-7,6.641224017010225e-7,9.999992635633963e-7,9.999992635614907e-7,9.999993218687154e-7,9.999993677995393e-7,9.999993732526038e-7,9.999994499999086e-7,1.0000000995515112e-6,1.0000002281413083e-6,-0.1000000000003638,244.225,9.999990000005437e-7,9.999719913091487e-7,9.999715853477442e-7,1.3954261932946518e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009998e-7,9.999990000009996e-7,9.999990000004647e-7,-0.1000000000003638,9754.775,9.99999000001e-7,9.999989997552747e-7,9.999989997515762e-7,9.98665798072773e-7,9.999990000064503e-7,9.999990000064503e-7,9.999990000065538e-7,9.999990000065852e-7,9.999990000065856e-7,9.999990000067565e-7,9.999990000091591e-7,9.999990000178264e-7
