mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,mean_X_conc,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.43373269055443786,11.633283924283687,0.011073032766524079,1.0,0.060927496206452506,1,0.002207035696340681,948.5344698135731,0.09886032055636182,131.69178339314973,0.0001,1000.0
1.0,0.76639082497555,13.437847372931994,0.2505168395390033,1.0,0.0022719915093009145,4,0.010788972411568025,164.591667119703,0.016797787582697305,15.082722515023532,0.0001,1000.0
1.0,0.9731528823640629,16.193004523510396,1.6935488414858348,0.94,0.0001603109698533086,4,0.06556865461150002,1049.2148444001223,0.056907308683594615,542.2426018216995,0.0001,1000.0
1.0,0.9527451103325888,15.47715569535371,0.368517670504697,0.95,0.00042137913969366136,3,0.05447340575968358,172.4531366235536,0.04113135258017865,680.2557922864222,0.0001,1000.0
1.0,0.9907466962783175,19.59503678138001,187.20799420468958,0.96,1.3629909708699713e-5,2,0.06628907307825281,16.69946535023931,0.02392693699318726,7060.0194725619285,0.0001,1000.0
1.0,0.7734029354250721,13.613211284347766,0.37862445564892616,1.0,0.0030645511520195393,2,0.00371399250818767,43.585107769035446,0.009971102268817473,27.477997549573658,0.0001,1000.0
1.0,0.9656226720278812,15.829742943810855,1.2286029773197973,0.9,0.0004409117643113245,3,0.03262529372260705,939.945736013548,0.009567991696493371,394.7571360978791,0.0001,1000.0
1.0,0.9322809575645722,14.989127147826242,0.09016808130461336,0.91,0.0009887633845911288,3,0.005034842375519769,816.231704347328,0.001621194375209786,2105.5884063119024,0.0001,1000.0
1.0,0.9452123973162824,15.648628501408114,6.5845801310554535,0.96,0.04972684230844735,1,0.060292034837918104,12.465986944670158,0.0014331171031865368,138.4837005554732,0.0001,1000.0
1.0,0.9476188237204508,16.144809511513987,32.215132321829266,0.99,0.001201210841059668,1,0.005270165755386457,184.09728091464393,0.003471994809231179,240.4715269418889,0.0001,1000.0
1.0,0.619320906809056,12.735522251410368,0.027856736316662908,1.0,0.007598526814861448,2,0.004480833015115977,376.29906123974905,0.009252719152910743,65.80694698026502,0.0001,1000.0
1.0,0.8661530706064751,14.284367123015427,2.7453136703008414,1.0,0.0007735928278322545,3,0.018144484450606572,19.233957800212135,0.022359004078737085,10.231578312898101,0.0001,1000.0
1.0,0.9754376794900479,17.802749877787498,54.298690558998054,1.0,0.00010451754021109759,1,0.011960147473048771,11.542721996976997,0.014404107156906423,3832.154185249034,0.0001,1000.0
1.0,0.9569656745495075,15.873793267659007,0.42873345682120023,1.0,0.00032618975382215254,2,0.0035064840387099383,9495.848665693517,0.009656556889513033,2311.697649648106,0.0001,1000.0
1.0,0.8768775617016289,14.537191297821495,4.386771259540699,1.0,0.0006899147176943468,1,0.011926970426745358,15.838839991675314,0.028901108945850067,12.867309719144124,0.0001,1000.0
1.0,0.31052161733822026,11.382758659022178,0.00514058584620783,0.9,0.030743394276199532,4,0.022791014260083474,254.82003231549731,0.004931324910342164,36.49716455860511,0.0001,1000.0
1.0,0.9902081743191712,19.49879338869124,33897.19710417902,1.0,1.1387809193009338e-5,1,0.010827586521522383,1133.2119791917178,0.00327030690749581,25.98484235594793,0.0001,1000.0
1.0,0.9934887912477093,20.643743327397114,13909.82015340847,0.98,1.4606317433619612e-5,1,0.031078431395920997,1818.846262301497,0.014827681096111302,1380.865685881626,0.0001,1000.0
1.0,0.7902993191173814,14.009837023230661,0.17180041392201173,0.98,0.05320188199115924,1,0.022669942392294428,68.98280161466931,0.003489914093137987,499.6590148516694,0.0001,1000.0
1.0,0.17993800998124307,10.566034148458769,1.0886042502343091e-5,1.0,0.048577279836868,3,0.013755110141231638,19.55594579974374,0.024599805132234368,1288.132984465086,0.0001,1000.0
1.0,0.9752818743180608,16.235120037776436,0.21968839068076745,0.89,0.0003787955828307712,3,0.02321917447859194,142.61283546548745,0.0033336482437938664,5071.25964341064,0.0001,1000.0
1.0,0.3879057823009116,11.710445792341226,0.003654194847471077,0.96,0.019102101133867195,3,0.06560733369101732,192.72561461019023,0.04596690553372788,41.45416128098345,0.0001,1000.0
1.0,0.9596546736912566,16.495549030807833,10.142696479310015,0.99,0.000851869678224853,1,0.018470814667222092,261.47464026384836,0.012404666752414261,1664.9639502374926,0.0001,1000.0
