ATPase_Vmax_frac,count,ATPase_Vmax_frac_median,Glucose_media_median,Glucose_median,G6P_median,F6P_median,F16BP_median,GAP_median,DHAP_median,BPG_median,ThreePG_median,TwoPG_median,PEP_median,Pyruvate_median,Lactate_median,Lactate_media_median,ATP_median,ADP_median,AMP_median,Phosphate_median,NTP_median,NDP_median,Phosphocreatine_median,Creatine_median,NAD_median,NADH_median,F26BP_median,Citrate_median,Phenylalanine_median,ATPprod_ATPase_ratios_median,ATPase_Vmax_frac_qlow,Glucose_media_qlow,Glucose_qlow,G6P_qlow,F6P_qlow,F16BP_qlow,GAP_qlow,DHAP_qlow,BPG_qlow,ThreePG_qlow,TwoPG_qlow,PEP_qlow,Pyruvate_qlow,Lactate_qlow,Lactate_media_qlow,ATP_qlow,ADP_qlow,AMP_qlow,Phosphate_qlow,NTP_qlow,NDP_qlow,Phosphocreatine_qlow,Creatine_qlow,NAD_qlow,NADH_qlow,F26BP_qlow,Citrate_qlow,Phenylalanine_qlow,ATPprod_ATPase_ratios_qlow,ATPase_Vmax_frac_qhigh,Glucose_media_qhigh,Glucose_qhigh,G6P_qhigh,F6P_qhigh,F16BP_qhigh,GAP_qhigh,DHAP_qhigh,BPG_qhigh,ThreePG_qhigh,TwoPG_qhigh,PEP_qhigh,Pyruvate_qhigh,Lactate_qhigh,Lactate_media_qhigh,ATP_qhigh,ADP_qhigh,AMP_qhigh,Phosphate_qhigh,NTP_qhigh,NDP_qhigh,Phosphocreatine_qhigh,Creatine_qhigh,NAD_qhigh,NADH_qhigh,F26BP_qhigh,Citrate_qhigh,Phenylalanine_qhigh,ATPprod_ATPase_ratios_qhigh
0.020000000000000004,9924,0.020000000000000004,0.025,0.024709537813534493,0.009756852220163679,0.0033109553652702806,0.00038462424240299424,1.8277467168436915e-5,0.00042268977545093303,0.00016164869368727805,0.00024231557502788823,8.616543048189106e-5,0.00020137120530329874,0.0055976535168960305,0.005286241827541319,0.005,0.010224180452829839,3.243490361589423e-5,3.620542247019999e-8,0.0007011282049105532,0.004496954426967488,0.0008161984943804265,0.0068870523415977955,0.0006887052341597795,0.0024391650428385145,6.23700865083539e-7,0.0,0.0,0.0,0.999811963881645,0.020000000000000004,0.024999999999999994,0.024106955887106974,0.0007547703913873675,0.0003159103934366764,1.2016943668462833e-6,7.634245900647341e-7,8.325936382539706e-6,1.8248170683890137e-8,1.2641051635889635e-6,9.36126586709572e-7,6.426455805115611e-7,0.0028400416275025445,0.005106477642135092,0.005,0.001431196686579002,6.775314232044025e-6,1.4019909943213546e-9,5.8153465985399935e-6,0.003336600702834415,0.000553862008958154,0.0068870523415977955,0.0006887052341597795,0.0007236035667043558,2.880987359621532e-7,0.0,0.0,0.0,0.9964107052988596,0.020000000000000004,0.02500000000000001,0.024880227951692153,0.014611442514816256,0.005596997487722276,0.013070033860760395,0.00017515588467955327,0.003061667466703373,0.0007964210438538938,0.0009506375169593561,0.00023101582806002782,0.0007736865324196388,0.008549656621036955,0.006715838634367956,0.005,0.012558581978201616,0.00374901076579184,0.0050583860793721215,0.0025342332165325197,0.9139768983581926,0.0011715920154873934,0.8908977340545714,0.0006887052341597795,0.0043540804515809625,2.142154529739623e-6,0.0,0.0,0.0,0.9998904093110204
0.025830993300297683,9928,0.025830993300297683,0.025,0.024626457673949595,0.008964565262144206,0.003073911987860619,0.0005910431558611578,2.0602123080884687e-5,0.0005394613440343732,0.0002342943854174811,0.0003433993544660499,0.00010766909210546079,0.00028175226922481537,0.005369639158615548,0.005372229664212495,0.005,0.010295129201226695,2.3251043881430145e-5,1.7170776236905636e-8,0.001103212473121427,0.004481909868331431,0.0008200728517200925,0.0068870523415977955,0.0006887052341597795,0.0024506426547175513,6.855942224945809e-7,0.0,0.0,0.0,0.999776383300792,0.025830993300297683,0.024999999999999998,0.02382583068367935,0.004094395010771919,0.0010352926980604304,1.6800126131447794e-6,8.832919932977147e-7,9.51169579317037e-6,1.4396431591068176e-5,1.9929681334605537e-5,1.3135507090803281e-5,1.892038294368787e-5,0.0026811861795376065,0.005138882155215999,0.005,0.007441923794447946,6.347208374071789e-6,1.1980577570737516e-9,0.0001378784472858305,0.0033179785913785313,0.0005526519666524761,0.0068870523415977955,0.0006887052341597795,0.0007265843089081466,3.1640661311178723e-7,0.0,0.0,0.0,0.9992786438671596,0.025830993300297683,0.025000000000000005,0.02484471520844235,0.013691474029281806,0.0052254585260836815,0.005402846742020591,0.00019742945283775934,0.0027203091379833485,0.0009702938718708787,0.0011594521872656143,0.0002648621963379574,0.0009061826561752624,0.008304889696631852,0.007506746716384427,0.005,0.012625495230626557,0.000768298158407701,2.5722376447047253e-5,0.0036159257608854344,1.0282855047637842,0.00155797300489437,1.0235859526709954,0.001377410468319559,0.00424860949873548,2.201021078734458e-6,0.0,0.0,0.0,0.9998811110934203
0.033362010744001185,9900,0.033362010744001185,0.025,0.02451754318328595,0.008037237608257614,0.00277650864339965,0.0007815015140039659,2.202055043742348e-5,0.0006191394053018323,0.0003116473675453268,0.00042976220278127916,0.00012594996313989565,0.0003452278227407507,0.005118728852994411,0.0054808689695116965,0.005,0.010322348521221587,2.000965438472009e-5,1.2655138059801596e-8,0.001642726020963805,0.004444354988767999,0.0008118155874361241,0.0068870523415977955,0.0006887052341597795,0.0024526661913836633,7.592141843448778e-7,0.0,0.0,0.0,0.9997270214845408,0.033362010744001185,0.024999999999999998,0.023494266264876874,0.003963815140049679,0.00107917685031318,2.546487268076823e-6,9.747485108596473e-7,1.0192204673344337e-5,4.1113654411520434e-5,3.771406403521361e-5,2.1281830234043415e-5,3.415942116727327e-5,0.0024452395710152664,0.0051804303074831715,0.005,0.007839857274552053,6.135997575682668e-6,1.1088279343807217e-9,0.0003150122565788103,0.003334607477264529,0.0005506634091809503,0.0068870523415977955,0.0006887052341597795,0.0007501096638024506,3.4195463837013715e-7,0.0,0.0,0.0,0.9991558236122642,0.033362010744001185,0.025000000000000005,0.024798516952421468,0.01265546239865354,0.004869249951027261,0.004881987039259461,0.00021450932548269943,0.002523038644688662,0.0011344607962341454,0.0012742245122016613,0.0002880210569027793,0.0009986113251063218,0.00809195349462943,0.008170921636874865,0.005,0.012625029238865635,0.000493285501673936,1.0294219572905929e-5,0.0055492182961890575,0.7894209027322017,0.001070124286104719,0.8104597109358659,0.0006887052341597795,0.004260931136756979,2.4542654541624175e-6,0.0,0.0,0.0,0.9998653883139477
0.04308869380063767,9890,0.04308869380063767,0.025,0.024377548928452113,0.00708622379792132,0.002441268081114516,0.0008947447012353992,2.3225585218448133e-5,0.0006674027321032614,0.00038500232584178233,0.0005100487981415252,0.0001404204084398575,0.0004074132446695182,0.004944875294971432,0.005629645876014514,0.005,0.010335050133045028,1.8717868508917654e-5,1.0798805853723777e-8,0.002385628992014977,0.004281027118011932,0.0008102169110309386,0.0068870523415977955,0.0006887052341597795,0.002437560027908927,8.441924465186617e-7,0.0,0.0,0.0,0.999654236417523,0.04308869380063767,0.024999999999999998,0.023132380383825188,0.0035611401437983387,0.0009514274300235826,3.661313895489938e-6,1.1586420028840217e-6,1.1936726735959126e-5,6.444623229453159e-5,5.1277896157807376e-5,2.758644159019234e-5,4.416811907556969e-5,0.0022185631803829067,0.005234318931543856,0.005,0.007842494550975122,6.031566136962365e-6,1.1343468713347186e-9,0.0005048581484511905,0.0032980860996210722,0.0005504643305337355,0.0068870523415977955,0.0006887052341597795,0.000722566501014046,3.770529196085157e-7,0.0,0.0,0.0,0.9989321345059765,0.04308869380063767,0.025000000000000005,0.024735120825091397,0.011193702599244718,0.004411541374934455,0.00493329500926187,0.00021648625512422933,0.002620200690704631,0.001291278324472087,0.0014265273302913593,0.0003187625520925802,0.001173228731272597,0.007980308955377203,0.009122787085806022,0.005,0.012694950488993223,0.00040043594699902313,6.788297771604154e-6,0.007606702282446792,0.005277444700108958,0.0010737247965854938,0.0068870523415977955,0.0006887052341597795,0.004260302500771275,2.8417863542734746e-6,0.0,0.0,0.0,0.9998494644299485
0.0556511880441425,9838,0.0556511880441425,0.025,0.024197813150820063,0.0060151311603142184,0.002079206451556801,0.0009402433536695429,2.3332540752984504e-5,0.000667436606846892,0.00045343377671328326,0.0005808560218531895,0.00015525014330042,0.0004633092122412264,0.004791175450337267,0.005820046763486058,0.005,0.010377601365340928,1.9060736597505386e-5,1.1133721734456517e-8,0.0034151584221629202,0.004331386547818875,0.0008138255159668667,0.0068870523415977955,0.0006887052341597795,0.002423481632655656,9.408475703846021e-7,0.0,0.0,0.0,0.999552715111649,0.0556511880441425,0.024999999999999998,0.02253927388782906,0.0030835722403487545,0.00079001097705733,4.8435754029029905e-6,1.376060159652121e-6,1.20459460133909e-5,9.510251312352659e-5,6.158424855702324e-5,3.2457057217730375e-5,5.4103797265131884e-5,0.0019760531956172656,0.005303697420190073,0.005,0.007951579983923351,6.6385016408523295e-6,1.3226342754327335e-9,0.000824006447770036,0.003307049213055251,0.0005495169368101468,0.0068870523415977955,0.0006887052341597795,0.0007135079842076058,4.230880017641196e-7,0.0,0.0,0.0,0.9987015472048012,0.0556511880441425,0.025000000000000005,0.024661445684164934,0.009936143738576635,0.003904488457126397,0.004885324490216342,0.00022949650324253728,0.002565684070383008,0.0013684647730249247,0.001651369164959432,0.0003514152561422027,0.001301775117396405,0.007774584271949358,0.010766488406676059,0.005,0.012704499985481312,0.00032587161627217027,4.56420853786342e-6,0.00999750301336042,0.581689879008713,0.001071773356173363,0.5747008760543835,0.0006887052341597795,0.004265130619160446,3.4527145322198014e-6,0.0,0.0,0.0,0.999818658336271
0.07187627327609256,9831,0.07187627327609256,0.025,0.023953465022517825,0.005050557383619193,0.0017501309073264387,0.0007770267063013015,2.2984982362422815e-5,0.0005956342472911343,0.0004957029063388021,0.0005941018165305318,0.00015789314162660494,0.0004671217700811919,0.004765032926773933,0.006065497871837692,0.005,0.010379054445590839,2.182454463801185e-5,1.4727011201337644e-8,0.00482813536442923,0.10251779678556718,0.0008137232338857878,0.10524986322395738,0.0006887052341597795,0.0024425018812337155,1.066375265642261e-6,0.0,0.0,0.0,0.9994123620858354,0.07187627327609256,0.024999999999999998,0.02173351226624208,0.00260550381850344,0.0006470238384603974,5.610870890246537e-6,1.4771528819780345e-6,1.1231696411414025e-5,0.0001241461362170649,6.56322645821728e-5,3.419270960024045e-5,5.709164727433561e-5,0.0019359580256034354,0.005394125241912192,0.005,0.007944510234654527,7.442804059712188e-6,1.7002365461483808e-9,0.0012463791779768235,0.003583074125723407,0.0005520765846619457,0.0068870523415977955,0.0006887052341597795,0.0007191702634426855,4.824059429796259e-7,0.0,0.0,0.0,0.9983242515412623,0.07187627327609256,0.025000000000000005,0.02456120677762272,0.008298252254650723,0.0033226537689251294,0.004936506088934765,0.0002555029633341157,0.0024512849783108904,0.0013708345712273395,0.0017311976681696113,0.00036716346338046594,0.0013925933232187054,0.007885961851056522,0.013165011413763108,0.005,0.012699715259599533,0.0003561887629886511,5.258537332166825e-6,0.012544301691641627,4.38285016403622,0.0011588156682695886,4.481574584695382,0.0006887052341597795,0.004318916061785595,3.963752404179798e-6,0.0,0.0,0.0,0.9997794978596616
0.0928317766722556,9763,0.0928317766722556,0.025,0.023669866470305664,0.004113944536488935,0.0014354096313426146,0.0004722774950110406,2.0835916228811326e-5,0.00043670983023617936,0.0005178545110032767,0.0005650233845251762,0.00015178023674411342,0.00043687047352250355,0.00480759728293052,0.006397630234529967,0.005,0.010353056304193285,2.7826989902288335e-5,2.4972857425983664e-8,0.006887032584200907,0.004479480732538175,0.0008138868379391172,0.0068870523415977955,0.0006887052341597795,0.00241820617781667,1.1998788290508447e-6,0.0,0.0,0.0,0.9991989762097044,0.0928317766722556,0.025,0.02090569628806581,0.002154856791273792,0.0005427941251232863,6.083374628423956e-6,1.5317793841416138e-6,8.64702733670795e-6,0.0001383383640948624,5.8314653519516597e-5,3.339336358644245e-5,5.3832375221138864e-5,0.001844159045928158,0.005508066264436714,0.005,0.007965884548339488,8.664784167375132e-6,2.310244605975319e-9,0.001782238382820706,0.0033563000684702594,0.0005554989009140436,0.0068870523415977955,0.0006887052341597795,0.0006948654036178414,5.537891672060011e-7,0.0,0.0,0.0,0.9980019565600231,0.0928317766722556,0.025,0.02443618422661651,0.006899058484088373,0.0027907449318402625,0.00466974763169667,0.00022985182344798587,0.0022645285155143717,0.0013903921917655182,0.001836675588894546,0.0003888474466145073,0.001460869626332722,0.007939100292668816,0.01604492937875553,0.005,0.012660519596381991,0.00038054558194992617,6.333938161308456e-6,0.014851108821171619,0.9279379131315133,0.0010748410254566667,0.9414525061591915,0.0006887052341597795,0.004296487302419466,4.621029149833749e-6,0.0,0.0,0.0,0.9997290937785553
0.11989685006378822,9681,0.11989685006378822,0.025,0.02328836083998727,0.003299167286568891,0.0011498534126743647,0.00017048105634567744,1.694910252859309e-5,0.00019790828174005954,0.0005175692301332146,0.00042481424859996296,0.0001235442200828131,0.00032881847090728797,0.005071671581996437,0.006872120105100574,0.005,0.010291593485572393,4.4954283188484744e-5,7.336203929192452e-8,0.009444656277847607,0.004553452844517855,0.0008247444764152287,0.0068870523415977955,0.0006887052341597795,0.0024324796619292193,1.3591556941703509e-6,0.0,0.0,0.0,0.998908508982842,0.11989685006378822,0.025,0.019897748964408848,0.0017260747247714314,0.00041168891479006375,6.926488917268226e-6,1.6759498545849194e-6,7.255008827615412e-6,0.00013554632546312716,4.9031290253433185e-5,2.709935831354939e-5,4.1569594103913534e-5,0.0019714871225963463,0.005668937065206255,0.005,0.007939825776788359,1.0513505381363095e-5,3.456247991805117e-9,0.002533078806676019,0.003371892289007864,0.0005561620755754784,0.0068870523415977955,0.0006887052341597795,0.0006897955799417656,6.22225034721495e-7,0.0,0.0,0.0,0.997568299154017,0.11989685006378822,0.025,0.024274353043816,0.00549743615387949,0.0022561954873481964,0.004491536378749719,0.00024902287206079646,0.00206931996028108,0.0013354937269019287,0.0017789536277873106,0.000387258122456853,0.0014127620581756634,0.0081081410907864,0.02030609867020194,0.005,0.012681331754914411,0.0005358690416593223,1.2954303029722343e-5,0.016648795990183266,0.928502012648084,0.0016741631899093955,0.9238930435904478,0.001377410468319559,0.004299080226604239,5.508718964248255e-6,0.0,0.0,0.0,0.99965302633323
0.15485273653622542,9515,0.15485273653622542,0.025,0.022820856129928187,0.002549292486431495,0.0008849327449642624,7.684944076726272e-5,1.2446229087878391e-5,6.461012577112396e-5,0.0004959387690863951,0.00024487314899085936,8.679300546028895e-5,0.00019042331389717253,0.005420563772009502,0.007437346854312919,0.005,0.010239833500854566,0.00010493867440303158,4.4685008488472517e-7,0.011880964919990335,0.004501718491329361,0.0008139603082690692,0.0068870523415977955,0.0006887052341597795,0.0024398457931127508,1.551177313869206e-6,0.0,0.0,0.0,0.9985570584659058,0.15485273653622542,0.025,0.018621812334492987,0.0013240105211528097,0.00032946165499354174,7.494477693809364e-6,1.802864824851138e-6,6.005919216761655e-6,0.00010695231808829431,3.750217822191464e-5,2.2232401966631143e-5,3.150454842979767e-5,0.002309775193983989,0.005842508781047553,0.005,0.007839979745275947,1.4067736455638934e-5,6.563088461209053e-9,0.0035595007227125193,0.003329154543270591,0.0005489358691800602,0.0068870523415977955,0.0006887052341597795,0.0007057630998492586,7.258790754577904e-7,0.0,0.0,0.0,0.9969971725446711,0.15485273653622542,0.025,0.024064570673736588,0.004397278306424752,0.0018140164754709615,0.0042295002593842,0.0002649267724634465,0.0018043422090605382,0.0012631561465072385,0.0017058410816497243,0.000358002449995049,0.0013236959359466532,0.008523871683040427,0.024584114599002452,0.005,0.012538183790975963,0.0007095480538685551,2.3323866352031368e-5,0.018151421563521862,0.9414839226815809,0.001080052486702186,0.9546484195941416,0.0006887052341597795,0.0043023290103525865,5.9650584010810035e-6,0.0,0.0,0.0,0.9995520228386193
0.20000000000000004,8770,0.20000000000000004,0.025,0.02221345784208892,0.0019187958788977094,0.0006799423753017631,6.329064394059095e-5,1.0780098304229064e-5,4.0893663186702836e-5,0.00045236322833649035,0.0001688701778999128,6.754634393858454e-5,0.00012785561223464364,0.005665426843608042,0.008316323114085665,0.005,0.0101728487382376,0.00020187235225124675,1.732129901333256e-6,0.013481090215618436,0.004499180820917479,0.0008153596836637549,0.0068870523415977955,0.0006887052341597795,0.002417376541600402,1.8368377530198934e-6,0.0,0.0,0.0,0.9982366395928393,0.20000000000000004,0.025,0.017161900003495156,0.0010039180564645992,0.00027669783788461804,8.494552652137131e-6,2.0427298034113947e-6,5.592391257348047e-6,7.999816986856614e-5,2.9956902491627562e-5,1.9503038340367898e-5,2.46167740929079e-5,0.002480235809503267,0.006150936657442931,0.005,0.007821986172609912,1.8896453794376774e-5,1.1872659860905868e-8,0.005117687119160168,0.0033260259523233,0.0005538130767963239,0.0068870523415977955,0.0006887052341597795,0.0006941841999678121,8.446577449760481e-7,0.0,0.0,0.0,0.996505216551851,0.20000000000000004,0.025,0.02379307927970239,0.0033219178275425308,0.0014012045314584119,0.003753019107454872,0.00026092481480710313,0.001466790126096062,0.0011965887371249604,0.0015230536830183891,0.000329294340260985,0.0011557351642524554,0.008694861676389658,0.03650484714097825,0.005,0.012547106062774462,0.0009248187860451208,4.0503488866545825e-5,0.019421443760029536,1.003826182175464,0.0010742199006750553,0.995600879532867,0.0006887052341597795,0.004246013633090523,8.491648288095004e-6,0.0,0.0,0.0,0.9993847997286971
