ATP_prod_eq_cons_frac,ATP_conc,ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.9962890906313815,23.068046651673622,1.0,0.0,1,0.004925836273035336,1922.7491612221168,0.008038113322290874,6272.256006730564,0.0001,1000.0
1.0,0.9930709867412026,21.8980192576308,1.0,0.0,1,0.05155841471530822,1988.8782172073918,0.009077997134071066,2097.81180054569,0.0001,1000.0
1.0,0.986596786634317,17.950011957431297,1.0,0.0,1,0.021518870596814656,22.53100135968418,0.0033062100379431833,174.43431880959506,0.0001,1000.0
1.0,0.993968705303373,22.596448065354785,1.0,0.0,1,0.0017326877285744535,160.6004704538088,0.004168186314509996,7576.2293420190035,0.0001,1000.0
1.0,0.9911163584791707,20.57035862388103,1.0,0.0,1,0.008776275770870586,106.7633651315292,0.0020868014476608868,523.3723874360203,0.0001,1000.0
1.0,0.9939377860006802,22.552491278869894,1.0,0.0,1,0.002693826866344477,170.51899620659634,0.05283711779675464,4285.4523413022935,0.0001,1000.0
1.0,0.9902731065041417,19.543060912367885,1.0,0.0,1,0.006956360175155149,1820.704849971553,0.0020074986342630188,16.168008989160295,0.0001,1000.0
1.0,0.9923721457030377,21.405260728844233,1.0,0.0,1,0.010696168791615003,2487.944969820004,0.024622856052572296,123.35337151459673,0.0001,1000.0
1.0,0.994017846958847,22.77600982631809,1.0,0.0,1,0.026146746902399827,2476.7194859894903,0.015086492218187728,1931.6563582952256,0.0001,1000.0
1.0,0.9417153961856957,15.281859900869467,1.0,0.0,1,0.05230405223411935,15.392717254244571,0.001130308240459595,16.968969624460552,0.0001,1000.0
1.0,0.9896456803048491,18.959044914323254,1.0,0.0,1,0.04050000817180012,3754.9499298118194,0.001178390823273221,107.69023948574812,0.0001,1000.0
1.0,0.9820634471983412,17.197727385102443,1.0,0.0,1,0.023201167801953623,110.51617840933437,0.005209579998686106,16.98024059635118,0.0001,1000.0
1.0,0.98864670187019,18.584835019657188,1.0,0.0,1,0.0013929285338316734,179.21717627614743,0.05138599191552357,40.34536378269496,0.0001,1000.0
1.0,0.9898362878640597,19.285038631177628,1.0,0.0,1,0.034043234040091915,294.0641133820078,0.0035829034797039746,50.56598212452359,0.0001,1000.0
1.0,0.9886384531195734,19.159756359296342,1.0,0.0,1,0.002177903394609759,26.470463410330975,0.002696049044700328,611.5982506773931,0.0001,1000.0
1.0,0.9412098723617044,15.297337360234257,1.0,0.0,1,0.09735483925917572,24.741821113804573,0.017184254041807876,11.103856785674884,0.0001,1000.0
1.0,0.994650722193495,23.201859774535198,1.0,0.0,1,0.09881537838798125,1099.046039938708,0.02204852599551368,3093.5307701051024,0.0001,1000.0
1.0,0.9909980262999077,19.952862955686236,1.0,0.0,1,0.028293715200632456,3645.346450837705,0.002904273692247463,70.46123813010813,0.0001,1000.0
1.0,0.9957279718548537,23.305612253390176,1.0,0.0,1,0.011434687606361913,1471.279483232805,0.020953809989104375,4355.681993863858,0.0001,1000.0
1.0,0.990035910872516,19.4678998628347,1.0,0.0,1,0.010510294091111018,479.1080036417953,0.06126734601814735,37.872599626519474,0.0001,1000.0
1.0,0.9919035762939806,21.452337705711475,1.0,0.0,1,0.08840404553578794,32.901700953240166,0.021412931456046627,4121.579224568223,0.0001,1000.0
1.0,0.9951416214750128,23.788828751374023,1.0,0.0,1,0.017600148344437582,366.9735054721731,0.03752284611978374,9268.748487104645,0.0001,1000.0
1.0,0.9911983506698527,20.33890275256724,1.0,0.0,1,0.049888003963344967,565.21744959558,0.0013315456225769303,102.42508120196743,0.0001,1000.0
1.0,0.9938383216460417,22.584077069202184,1.0,0.0,1,0.0027064181201003536,1885.374453604567,0.0024386479568617617,7991.925635305699,0.0001,1000.0
1.0,0.989849159497619,19.778057567037674,1.0,0.0,1,0.022154436042720445,51.49493045202642,0.01552319169269767,560.5721717597364,0.0001,1000.0
1.0,0.9934426870541242,21.77289622924297,1.0,0.0,1,0.006408890073478801,1950.590679878517,0.024299180854839363,326.23019435471554,0.0001,1000.0
1.0,0.9948845935870956,21.882400330122206,1.0,0.0,1,0.00773899401048375,8487.317895477858,0.017925952030027243,317.47329112685946,0.0001,1000.0
1.0,0.9947435604010502,23.294126302652113,1.0,0.0,1,0.07873548864448254,1338.9893442379182,0.02443283220739412,3544.1187158401,0.0001,1000.0
1.0,0.9935669702412585,22.92446158098455,1.0,0.0,1,0.09874769233617577,272.3132247821207,0.019129304303551507,2291.7605791683627,0.0001,1000.0
1.0,0.9839388280285897,17.529044146859093,1.0,0.0,1,0.030067028348692387,273.64911619495626,0.012425393685939859,10.045878657486286,0.0001,1000.0
1.0,0.9902390131683725,20.347812797940037,1.0,0.0,1,0.04330383878891606,27.23803657276256,0.0548126801753495,1946.5723989232545,0.0001,1000.0
1.0,0.98406389423162,17.438550363906355,1.0,0.0,1,0.009776230461140546,17.789769005278046,0.09522296265380069,130.59527898365366,0.0001,1000.0
1.0,0.9887002683128362,18.671310808147865,1.0,0.0,1,0.002954838417765446,25.283425617040105,0.01442908412868145,324.8252708847647,0.0001,1000.0
1.0,0.990195222137919,19.799890686370514,1.0,0.0,1,0.017863029872842242,678.2644929026721,0.03892852296698109,40.23454552294325,0.0001,1000.0
1.0,0.9912529791356678,20.693862668013008,1.0,0.0,1,0.09038700038534632,49.09264261147902,0.01815568539091002,1276.0248654984855,0.0001,1000.0
1.0,0.9901209402054499,19.24612299887171,1.0,0.0,1,0.06157306414905905,6359.501152531151,0.0025626146630575706,2521.606736484826,0.0001,1000.0
1.0,0.9892135727844997,18.97697162382,1.0,0.0,1,0.0017711833729369077,681.7803938343667,0.004944407307021902,18.019964412646445,0.0001,1000.0
1.0,0.9897586617287844,20.530997828609294,1.0,0.0,1,0.03261824142983425,338.69571265069266,0.03099039601755305,204.60647116003963,0.0001,1000.0
1.0,0.9924506673002762,21.42687339633268,1.0,0.0,1,0.019261150303914933,3554.123103523575,0.07889323623448936,69.99194958813617,0.0001,1000.0
1.0,0.9903313554239568,21.40916956036679,1.0,0.0,1,0.0010530279834555538,100.40809682428467,0.0010753619049008037,2775.500157763714,0.0001,1000.0
