mean_ATP_prod_eq_cons_frac,mean_ATP_conc,mean_ATP_energy,Fract_success_sims,Enz1_L,Enz1_n,Enz1_Vmax,Enz1_Keq,Enz2_Vmax,Enz2_Keq,ATPase_Vmax,ATPase_Keq
1.0,0.0010111821632827196,19.110702561963546,1.0,0.0,1,0.09100865692039156,796.6856856904993,0.005511136313262805,15.508944372644395,0.0001,1000.0
1.0,0.036131566525267125,17.92867469102918,1.0,0.0,1,0.01560496723258717,22.05764992620473,0.0038026793192774367,178.1893245504646,0.0001,1000.0
1.0,0.0010646775371085703,20.684007493315985,1.0,0.0,1,0.01743181270298989,894.7346538430437,0.010319913885750858,77.2294018671611,0.0001,1000.0
1.0,0.013408255246331833,20.888884554875975,1.0,0.0,1,0.010726652834979472,69.49556176802972,0.006315797118486552,1220.3647054520025,0.0001,1000.0
1.0,0.00011398640577854911,21.450831871372312,0.04,0.0,1,0.06801547352077378,7073.492067950987,0.001000500671986318,1535.6825546550199,0.0001,1000.0
1.0,0.0013760498012747601,25.132431464177035,1.0,0.0,1,0.005517885039605225,725.0910358238522,0.003767222829046641,8594.325699602163,0.0001,1000.0
1.0,0.09614741834326766,21.229036975326164,1.0,0.0,1,0.0013450518588530023,11.5807259666729,0.004573823125240971,9477.644895123623,0.0001,1000.0
1.0,0.00021014939539203053,24.05674890676803,1.0,0.0,1,0.051551813567663564,5364.1552259526115,0.04320687096610431,419.8816688438964,0.0001,1000.0
1.0,0.0021710030766066936,24.419230924422045,0.84,0.0,1,0.07622736634607179,370.6604773710886,0.004347403477832844,7398.030147357229,0.0001,1000.0
1.0,0.011742497597046575,21.283566348368964,1.0,0.0,1,0.0012916831669784999,184.21246993315015,0.008791785973755671,607.3447230682167,0.0001,1000.0
1.0,0.02440877038824663,18.835321732413533,1.0,0.0,1,0.003380066408740235,57.84693832499301,0.019014722094234635,166.3420551827112,0.0001,1000.0
1.0,0.00018608394603685836,22.07161286652688,0.57,0.0,1,0.07963607164253973,4310.157916259337,0.0021891434875849,68.43523675569693,0.0001,1000.0
1.0,0.03054811289246294,20.529377078956426,1.0,0.0,1,0.030901747763633573,25.834949682311947,0.005095222353658076,2037.8727633638798,0.0001,1000.0
1.0,0.00015009519068773003,22.00544512082434,0.05,0.0,1,0.047200831393420094,5432.593251099433,0.0017432281952262938,943.6141878751548,0.0001,1000.0
1.0,0.00030165735520144686,24.43167138995414,1.0,0.0,1,0.015217700005559758,3793.452117251592,0.012959588066988131,871.0185923844157,0.0001,1000.0
1.0,0.004842546257254319,23.88193082443208,1.0,0.0,1,0.00991276159064988,171.11885525115878,0.0019778687679073014,9014.81324490346,0.0001,1000.0
1.0,0.006946587530241889,17.86788924138075,1.0,0.0,1,0.0019295767002089055,187.67714356041253,0.001863243948508637,25.695085074298483,0.0001,1000.0
1.0,0.009726484479531929,24.77990905378989,1.0,0.0,1,0.002086848390544669,528.2116268844943,0.0031619284259215255,8211.249090258278,0.0001,1000.0
1.0,0.07448440286479205,17.12150196122392,1.0,0.0,1,0.002701926420871987,15.15849759584126,0.00865967287283792,117.19930722449736,0.0001,1000.0
1.0,0.011142210461904693,20.212784879278686,1.0,0.0,1,0.00734073919075456,85.41976845642414,0.0045999434314104295,509.59332582576167,0.0001,1000.0
1.0,0.009011024706969337,21.0599977204854,1.0,0.0,1,0.018776525219263384,91.26551758594863,0.0036651863789584874,990.3550571849703,0.0001,1000.0
1.0,0.0077280512152715876,20.62287043518622,1.0,0.0,1,0.02232581651924664,104.80245877759168,0.0028262510740094428,546.9799029419046,0.0001,1000.0
1.0,0.01816101226581287,22.776129084884484,1.0,0.0,1,0.0031662661334583967,73.15678279193294,0.003060646381376336,9156.191786788351,0.0001,1000.0
1.0,0.0013052925003301267,22.968045467916994,1.0,0.0,1,0.018618243341799075,831.3668512510623,0.01492176672776497,892.1939867847381,0.0001,1000.0
1.0,0.00045067184717031365,24.939791264995776,0.96,0.0,1,0.0038045246133836985,1892.6227792256777,0.0011291508268179938,2367.7258726221853,0.0001,1000.0
1.0,0.009791765682339611,17.435111963207113,1.0,0.0,1,0.001229857821465248,157.52026774103604,0.006587768200738722,14.98661495634599,0.0001,1000.0
1.0,0.010825630943569087,18.326855660851248,1.0,0.0,1,0.06534174640796583,85.92624963981268,0.03782716353954148,74.93244978220626,0.0001,1000.0
1.0,0.05626891137910139,16.71138167651153,1.0,0.0,1,0.0010163501946027795,21.129204275400394,0.02529111823639217,52.214967284717716,0.0001,1000.0
1.0,0.0030284642476478252,22.275559698511803,1.0,0.0,1,0.04330754254537691,7746.284811807893,0.04702045268070818,50.69749376082512,0.0001,1000.0
1.0,0.06264561863980614,15.869454809712595,1.0,0.0,1,0.007651130369100184,12.178922552455742,0.001969822016100377,40.8794459416244,0.0001,1000.0
1.0,0.014278130943366683,20.74393770276293,1.0,0.0,1,0.007509113253913559,126.32310446195623,0.02457394931806576,535.1690495750482,0.0001,1000.0
1.0,0.006024122561843604,23.76926025244354,1.0,0.0,1,0.0010268981351977589,2356.724146059897,0.0012525646244616172,709.8836636337737,0.0001,1000.0
1.0,0.005612676953491832,18.016688261855062,1.0,0.0,1,0.0016694303721519318,322.1650965105947,0.004144927406187598,13.889707808724044,0.0001,1000.0
1.0,0.010522682435835106,22.311188376265513,1.0,0.0,1,0.097918076478415,75.42659932120341,0.005721057146110267,4083.933821766227,0.0001,1000.0
1.0,0.0015366884395960503,21.15020592201495,1.0,0.0,1,0.005808620958460636,541.2887030225618,0.0011320700605037504,182.81458624770798,0.0001,1000.0
1.0,0.005581843530822196,19.52936072422272,1.0,0.0,1,0.013611924397050017,463.40220066484244,0.09308684812312422,41.40535400315518,0.0001,1000.0
1.0,0.004002688993450748,22.188467168578246,1.0,0.0,1,0.03464009345579098,1626.8484038643232,0.038073161284463426,219.71782866438164,0.0001,1000.0
1.0,0.0002615434976075587,25.608674809879282,0.59,0.0,1,0.053422568539838386,3187.0771452002264,0.014315090155522963,2661.4422247049765,0.0001,1000.0
1.0,0.0009968612600070683,23.49746584044254,0.99,0.0,1,0.014186475483439875,811.5538427171431,0.0011107993766962302,1260.0058998998097,0.0001,1000.0
1.0,0.02294515296060453,20.20162613119779,1.0,0.0,1,0.011400946853146547,34.79879069275263,0.0018743610258790285,1088.2181787921993,0.0001,1000.0
1.0,0.00036883192140793706,19.818920609704286,1.0,0.0,1,0.022484407821996656,2255.8330743113174,0.004252439650215776,11.493754801439145,0.0001,1000.0
1.0,0.02288762383344901,18.662483272966885,1.0,0.0,1,0.012023139353606913,38.800214737489,0.006194506200910231,227.95651488705582,0.0001,1000.0
1.0,0.00022709821600777676,21.37470134900767,0.95,0.0,1,0.02133422472995538,3626.06932525569,0.0030351081512222005,34.50289942612806,0.0001,1000.0
1.0,0.005685714599537102,22.552535233357318,1.0,0.0,1,0.0025575327471035634,3384.7185903776217,0.007248119555232588,124.50948501698319,0.0001,1000.0
1.0,0.00010271412061700841,19.66930827431286,0.02,0.0,1,0.03526966683314274,9888.64435260521,0.008154261727126914,4895.828219870607,0.0001,1000.0
1.0,0.018399980780844302,21.817720780237426,1.0,0.0,1,0.008376469970972494,96.17492934330537,0.018893259731113023,2146.297834651499,0.0001,1000.0
1.0,9.040195684705541e-5,20.90670467693588,0.02,0.0,1,0.027971765798037,9804.98016572306,0.004057192793772219,7808.231402917053,0.0001,1000.0
1.0,0.01192167451280885,18.93372160940498,1.0,0.0,1,0.0263507489347866,133.79695534259685,0.05414079620758983,86.08784161507803,0.0001,1000.0
1.0,0.023205600309241757,21.001103760765478,1.0,0.0,1,0.009897760253093755,38.67937026331232,0.0053318180216512115,2415.8498591120406,0.0001,1000.0
1.0,0.022159395570631624,18.83601126049754,1.0,0.0,1,0.0020547766982354633,63.93704170506469,0.004384418543122356,162.44239384962088,0.0001,1000.0
1.0,0.09806991747865405,14.347008271010568,1.0,0.0,1,0.004188424374485859,10.314050088444292,0.00768872502091236,11.312813609384875,0.0001,1000.0
1.0,0.005221853784504884,21.937810494734414,1.0,0.0,1,0.001877633523558855,3335.4965566780884,0.009499490472672824,65.51435615825734,0.0001,1000.0
1.0,0.03453140017673635,18.43435814308361,1.0,0.0,1,0.022145811821902027,23.827402378390623,0.007659393619145984,281.42201980809716,0.0001,1000.0
1.0,0.0038808460346073676,17.863417030025822,1.0,0.0,1,0.007639675624201533,245.53615089199263,0.0046207961006504315,16.598274297666688,0.0001,1000.0
1.0,0.008458111828356995,25.81793695117584,1.0,0.0,1,0.0022065778465023074,8177.5851231133065,0.06579609761281176,1271.2301423072176,0.0001,1000.0
1.0,0.015957899572541585,23.859940767917614,1.0,0.0,1,0.0075924345356104955,151.3613465202527,0.052699882816646386,9839.673670453669,0.0001,1000.0
1.0,0.06008159774195193,20.244640329774196,1.0,0.0,1,0.0019211272659552733,20.58619502704674,0.037125588616707006,1872.3540287469198,0.0001,1000.0
1.0,0.007272676042312787,27.217741058244123,1.0,0.0,1,0.040683156177853896,9849.280572135378,0.04240561975789739,5872.457239340128,0.0001,1000.0
1.0,0.00422300084673487,22.959780548415807,1.0,0.0,1,0.06742946382834897,189.6704063557294,0.003811540101596069,3115.424012631539,0.0001,1000.0
1.0,0.05293371609862835,15.958014467807612,1.0,0.0,1,0.020567594553475902,14.101868239206574,0.0020745455844464744,37.189857249813734,0.0001,1000.0
1.0,0.010757958460336321,19.07186661052853,1.0,0.0,1,0.0015766572894381898,121.04481353929972,0.0015260797257773961,133.85164361334338,0.0001,1000.0
1.0,0.004511842816055095,18.44415793261695,1.0,0.0,1,0.0069055655885484745,181.9138356225582,0.0011131926330549807,35.562730361944425,0.0001,1000.0
1.0,0.01673395156431583,20.30186001455466,1.0,0.0,1,0.0016859066866139808,98.82815722654585,0.006706344856909342,432.737686874027,0.0001,1000.0
1.0,0.009197004787045337,27.140568182895052,1.0,0.0,1,0.0010296650961556738,7228.266478889448,0.03907920709295275,5425.436505829446,0.0001,1000.0
1.0,0.00874030790780827,18.518075176588944,1.0,0.0,1,0.0647344605228982,90.81556584633775,0.0031239541796782783,74.79374868688522,0.0001,1000.0
1.0,0.00037733220199521545,22.19062499009357,1.0,0.0,1,0.005027410572081343,2313.6738666309934,0.0018007094936460133,126.78562053531918,0.0001,1000.0
1.0,0.02886110249905402,22.054775540918484,1.0,0.0,1,0.0045132709271743275,54.639717918027486,0.09293138703924289,4347.447809747014,0.0001,1000.0
1.0,0.006256548623213542,22.009688825446407,1.0,0.0,1,0.0012519888413145858,1268.0083109996517,0.0511750314998983,178.09810142557836,0.0001,1000.0
1.0,0.001287085059062169,20.04456339985935,1.0,0.0,1,0.022285920445463625,625.0624578729766,0.0012579558648096623,50.4848189396663,0.0001,1000.0
1.0,0.004192353668782648,21.2538117554636,1.0,0.0,1,0.004586298884041864,7034.893651961348,0.044741686095365926,15.279105328684233,0.0001,1000.0
1.0,0.007307478153770906,22.26217573944884,1.0,0.0,1,0.009912280434972482,131.662362074804,0.006283752615628982,2599.611427326888,0.0001,1000.0
1.0,0.0006796630590974746,23.1333112715707,1.0,0.0,1,0.0348612166409527,1258.8476005879418,0.01021007244246891,590.8846480802424,0.0001,1000.0
1.0,0.0003057675092263168,25.358377400311188,0.96,0.0,1,0.030895409408350456,2839.4849060794813,0.01133425037479267,2414.0112527987553,0.0001,1000.0
1.0,0.007214405619323713,20.846309120296397,1.0,0.0,1,0.003948739987899378,125.70255372254285,0.001970254001169996,628.6620769696444,0.0001,1000.0
1.0,0.00209968935228816,21.95694071285511,1.0,0.0,1,0.09854354744348572,421.6403195500691,0.04033771141035844,557.7562371915537,0.0001,1000.0
1.0,0.009726126005900957,24.93542913105801,1.0,0.0,1,0.011175929497625714,706.6964551301236,0.0416115866292425,6399.863781539162,0.0001,1000.0
1.0,0.06818043068323613,21.689685511211096,1.0,0.0,1,0.006643901800275489,18.00640044080034,0.018638917023371556,9842.331111951165,0.0001,1000.0
1.0,0.007404999285206353,18.327337380997008,1.0,0.0,1,0.0908973049514249,109.75181300239693,0.012708896757824203,52.15595619217232,0.0001,1000.0
1.0,0.00117804148464026,22.096682588367276,1.0,0.0,1,0.009025426625889253,826.159346421531,0.005743859206451179,351.1063274680986,0.0001,1000.0
1.0,0.00966591639892011,21.74905510654128,1.0,0.0,1,0.0013770585307796715,291.7255378820707,0.0657712223726283,595.2709560932763,0.0001,1000.0
1.0,0.015306994390960555,19.481034448575066,1.0,0.0,1,0.002107909712708932,105.6511424981295,0.03299884512045655,169.80685461425878,0.0001,1000.0
1.0,0.020088699103225402,21.255417140655123,1.0,0.0,1,0.02509436213963747,80.20866303172106,0.04079804140449608,1541.5685289883027,0.0001,1000.0
1.0,0.0007706881209453417,20.108288702820484,1.0,0.0,1,0.05016984506149538,1107.970648083841,0.014377403938356407,32.05549045191872,0.0001,1000.0
1.0,0.0018363647867833835,23.364546085090893,1.0,0.0,1,0.039328038761989925,468.3101281287207,0.012439883896831646,2015.916816584917,0.0001,1000.0
1.0,0.0023578987146075482,22.10746154435924,1.0,0.0,1,0.026694777506694887,341.1233648777222,0.0016683551041930002,736.478420093993,0.0001,1000.0
1.0,0.030425672428642712,19.370697008915833,1.0,0.0,1,0.02878420739931288,26.42710511144706,0.006854031149500601,632.7150613185299,0.0001,1000.0
1.0,0.02756808218538509,17.847619773175982,1.0,0.0,1,0.0010355692139108286,48.842657703433275,0.006618441018770131,72.64518074114447,0.0001,1000.0
1.0,0.024005827575434707,18.38269204479215,1.0,0.0,1,0.0010058554970396108,58.2912404844893,0.018014000997987705,101.87186370268185,0.0001,1000.0
1.0,0.0017674818019934148,19.46255157848918,1.0,0.0,1,0.010088547784367534,496.7250482061297,0.003861578894117948,38.3156275349261,0.0001,1000.0
1.0,9.673457300902369e-5,23.337649821415017,0.98,0.0,1,0.027928548196192355,9037.412737557266,0.01041692888238746,101.65106059537452,0.0001,1000.0
1.0,0.0004689158894088727,21.566570423259474,1.0,0.0,1,0.029486884609388107,1873.3472105528379,0.011147497248470369,84.07681293679208,0.0001,1000.0
1.0,0.0076570518710468985,24.870953877067592,1.0,0.0,1,0.00668731604192068,698.5032881951457,0.007145321922988026,7704.432943571497,0.0001,1000.0
1.0,0.03433630926729656,19.740416358029037,1.0,0.0,1,0.0012170588998412356,39.67779326142526,0.004262387616836536,618.3030073976357,0.0001,1000.0
1.0,0.052435398850114154,20.383627587259042,1.0,0.0,1,0.001470045003815493,24.401481085975423,0.08864682136546978,1802.5483558701494,0.0001,1000.0
1.0,0.0613102916393137,17.648857821230084,1.0,0.0,1,0.011175217414994732,19.24133630794161,0.04176181623542966,155.1107539564599,0.0001,1000.0
1.0,0.04154769361485447,18.21808140657721,1.0,0.0,1,0.029087746725224017,30.1848964278524,0.03882475534588496,203.13765308587648,0.0001,1000.0
1.0,0.06947317745723189,20.12159927909281,1.0,0.0,1,0.009383778454308947,17.1062213115289,0.02948559370090381,2121.279549183953,0.0001,1000.0
1.0,0.09409296700136034,16.47323223332533,1.0,0.0,1,0.014440581810965162,11.314256893416385,0.03462499061733831,84.17353323004818,0.0001,1000.0
1.0,0.007104450865601082,23.811202749658037,1.0,0.0,1,0.0022843616796791345,4799.926334731078,0.06528693075365924,288.3095619895311,0.0001,1000.0
1.0,0.030035252617737797,15.734127041441587,1.0,0.0,1,0.008690041800023777,42.7064749237586,0.0372167879697637,10.115666745611739,0.0001,1000.0
1.0,0.010398825750554739,20.27012994875728,1.0,0.0,1,0.002046198839011677,189.5834668680387,0.00828905231282494,218.2580302214921,0.0001,1000.0
1.0,0.015831189567786473,21.914984214877745,1.0,0.0,1,0.0026965709427296267,123.51630515565893,0.011483866074217888,1744.6376582903158,0.0001,1000.0
1.0,0.007564367622033914,18.5915680207925,1.0,0.0,1,0.05568710622898472,106.21840562835213,0.00518190274091149,69.53812589729354,0.0001,1000.0
1.0,0.008047392562890786,23.743856110904375,1.0,0.0,1,0.0010914024994803885,1179.1540792534129,0.011352540973900753,1111.752120470757,0.0001,1000.0
1.0,0.003034555258618737,22.161411580308446,1.0,0.0,1,0.03496797719294637,263.7302526178672,0.0015716820905372576,1001.8033708010665,0.0001,1000.0
1.0,0.008055337295125871,25.696817559731606,1.0,0.0,1,0.012693627557206417,2024.399737624366,0.015645146206161028,5713.287436640373,0.0001,1000.0
1.0,0.03034962635374867,19.25085553743478,1.0,0.0,1,0.01450786321603432,45.0212078320065,0.035397266979588796,344.261140873101,0.0001,1000.0
1.0,0.002606010167709431,22.372837671379898,1.0,0.0,1,0.021809015528348477,308.1037137817228,0.0012311193761820765,1063.2258190553443,0.0001,1000.0
1.0,0.02205456109821715,18.297374639779257,1.0,0.0,1,0.002559197811100477,64.03883987841408,0.02453056618090428,86.0348211826817,0.0001,1000.0
1.0,0.013154598995172026,17.574651976563732,1.0,0.0,1,0.0032904439165069637,106.5681214333585,0.003736529670048716,31.975885087701876,0.0001,1000.0
1.0,0.021459765100068875,22.033863781708973,1.0,0.0,1,0.02810698409177987,54.772731005762665,0.02569403900320793,5600.837477029616,0.0001,1000.0
1.0,0.06127100015294954,15.2008479362406,1.0,0.0,1,0.0168298882075964,18.765998904778822,0.07915258387792638,13.401542474832828,0.0001,1000.0
1.0,0.00116835615216685,21.832376375114,1.0,0.0,1,0.011801359117055689,704.0397596965954,0.001756347712668685,275.9890635247671,0.0001,1000.0
1.0,0.0035428452870707467,21.255440144022064,1.0,0.0,1,0.017857653191277724,235.21659830930653,0.003814546914957993,469.7336477503573,0.0001,1000.0
1.0,0.0008066852460677206,23.544908271095288,0.95,0.0,1,0.0743748433998391,1020.4532742536153,0.011310515831751616,1066.9703121852278,0.0001,1000.0
