Parameters,S1,ST
All,0.6114073139148825,1.6487788330126074
HK1 Km Vmax,0.283452099705672,0.4834702054908122
HK1 PFKP reg,0.24873136469043547,0.43823674894828657
PFKP Km Vmax,0.06548082337926042,0.25365859866260737
GAPDH,-0.001129648535829247,0.10127357216676444
PGK,-0.020191974999859665,0.16148917313765937
All Other,0.0350646496752041,0.21065053460647779
