Parameters,S1,ST
All,0.49742993826461884,1.9104969298457508
HK1 Km Vmax,0.5005992456140893,0.7095772076406377
HK1 PFKP reg,0.03601284617484639,0.06185254478675132
PFKP Km Vmax,0.03440224199168843,0.19092212483295284
GAPDH,-0.04935382482226693,0.03021801085381159
PGK,-0.0034409997692128255,0.7704415743075138
All Other,-0.02078957092452565,0.14748546742408344
