Parameters,S1,ST
All,0.49939317166139124,1.858065375004322
HK1 Km Vmax,0.3868347804028593,0.5871212087054074
HK1 PFKP reg,0.048882040749691415,0.07785318026798375
PFKP Km Vmax,0.045868946027797286,0.2135431700440112
GAPDH,0.049068251031083844,0.16010411586894585
PGK,-0.016420925680877933,0.6875236582061977
All Other,-0.014839920869162807,0.13192004191177645
